code,name,market,asset_type,category,benchmark_code,benchmark_name,active,priority,aliases
159915,易方达创业板ETF,CN,etf,growth,399006.SZ,创业板指,true,1,创业板ETF;创业板ETF易方达
588000,华夏上证科创板50ETF,CN,etf,innovation,000688.SH,科创50,true,2,科创50ETF;科创50ETF华夏;科创ETF
512100,南方中证1000ETF,CN,etf,small_cap,000852.SH,中证1000,true,3,1000ETF;中证1000ETF;中证1000ETF南方
510500,南方中证500ETF,CN,etf,mid_cap,000905.SH,中证500,true,4,500ETF;中证500ETF;中证500ETF南方
510300,华泰柏瑞沪深300ETF,CN,etf,broad_market,000300.SH,沪深300,true,5,300ETF;沪深300ETF;沪深300ETF华泰柏瑞
159338,国泰中证A500ETF,CN,etf,broad_market,000510.SH,中证A500,true,6,A500ETF;中证A500ETF;中证A500ETF国泰
510050,华夏上证50ETF,CN,etf,large_cap,000016.SH,上证50,true,7,50ETF;上证50ETF;上证50ETF华夏
159845,华夏中证1000ETF,CN,etf,small_cap,000852.SH,中证1000,true,8,1000ETF华夏;中证1000ETF华夏
588080,易方达上证科创板50ETF,CN,etf,innovation,000688.SH,科创50,true,9,科创50ETF易方达;科创板50ETF
159949,华安创业板50ETF,CN,etf,growth,399673.SZ,创业板50,true,10,创业板50ETF;创业板50ETF华安
159629,富国中证1000ETF,CN,etf,small_cap,000852.SH,中证1000,true,11,1000ETF富国;中证1000ETF富国
159633,易方达中证1000ETF,CN,etf,small_cap,000852.SH,中证1000,true,12,1000ETF易方达;中证1000ETF易方达
588220,鹏华上证科创板100ETF,CN,etf,innovation,000698.SH,科创100,true,13,科创100ETF;科创100ETF鹏华
563300,华泰柏瑞中证2000ETF,CN,etf,small_cap,932000.CSI,中证2000,true,14,2000ETF;中证2000ETF;中证2000ETF华泰柏瑞
159952,广发创业板ETF,CN,etf,growth,399006.SZ,创业板指,true,15,创业板ETF广发
560010,广发中证1000ETF,CN,etf,small_cap,000852.SH,中证1000,true,16,1000ETF广发;中证1000ETF广发
159901,易方达深证100ETF,CN,etf,large_cap,399330.SZ,深证100,true,17,深100ETF;深证100ETF;深证100ETF易方达
510330,华夏沪深300ETF,CN,etf,broad_market,000300.SH,沪深300,true,18,300ETF华夏;沪深300ETF华夏
510310,易方达沪深300ETF,CN,etf,broad_market,000300.SH,沪深300,true,19,300ETF易方达;沪深300ETF易方达
512500,华夏中证500ETF,CN,etf,mid_cap,000905.SH,中证500,true,20,500ETF华夏;中证500ETF华夏
